infant1,infant2,sample1,sample2,NCBI_sample_code1,NCBI_sample_code2,column_distance_on_plate,physical_distance_on_plate,sample_pairs_v1,sample_pairs_v2,infant_pairs,sibling,name,popANI,percent_compared,conANI,coverage_overlap,completeness,contamination,strain_heterogeneity,compared_bases_count,consensus_SNPs,population_SNPs,genome,phylum,genus,species,name1,name2,plate_loc1,plate_loc2
#40,#41,#40D71,#41D96,L2_040_071G1,L2_041_096G1,8.0,8.06225774829855,#40D71-vs-#41D96,#41D96-vs-#40D71,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999989168949762,0.8048907799761437,0.9968719926912072,0.8995984080040984,100.0,0.0,0.0,3693086,11552,4,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_071G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_096G1.shrink.sort.bam,P2,P2
#40,#41,#40D71,#41D124,L2_040_071G1,L2_041_124G1,2.0,2.0,#40D71-vs-#41D124,#41D124-vs-#40D71,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999972922909628,0.8049066899839091,0.9969614089184896,0.8985875521150171,100.0,0.0,0.0,3693159,11222,10,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_071G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_124G1.shrink.sort.bam,P2,P2
#40,#41,#40D97,#41D24,L2_040_097G1,L2_041_024G1,6.0,8.48528137423857,#40D97-vs-#41D24,#41D24-vs-#40D97,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.999997511036066,0.8756467254697647,0.9962075656538908,0.9736383619016676,100.0,0.0,0.0,4017736,15237,10,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_097G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_024G1.shrink.sort.bam,P2,P2
#40,#41,#40D97,#41D87,L2_040_097G1,L2_041_087G1,6.0,6.0,#40D97-vs-#41D87,#41D87-vs-#40D97,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999982945834264,0.894571570734042,0.9960346628354888,0.9940021058628524,100.0,0.0,0.0,4104569,16276,7,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_097G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_087G1.shrink.sort.bam,P2,P2
#40,#41,#40D97,#41D93,L2_040_097G1,L2_041_093G1,5.0,8.602325267042627,#40D97-vs-#41D93,#41D93-vs-#40D97,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999975670727628,0.8958151666834848,0.9983859960708223,0.9931323556584262,100.0,0.0,0.0,4110275,6634,10,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_097G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_093G1.shrink.sort.bam,P2,P2
#40,#41,#40D97,#41D96,L2_040_097G1,L2_041_096G1,1.0,7.071067811865476,#40D97-vs-#41D96,#41D96-vs-#40D97,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999965967799218,0.8965727445874916,0.9962416295979024,0.99265439183816,100.0,0.0,0.0,4113751,15461,14,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_097G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_096G1.shrink.sort.bam,P2,P2
#40,#41,#40D97,#41D124,L2_040_097G1,L2_041_124G1,5.0,7.810249675906654,#40D97-vs-#41D124,#41D124-vs-#40D97,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.999994411264364,0.8969367132582889,0.996153734939876,0.9922044495099148,100.0,0.0,0.0,4115421,15829,23,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_097G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_124G1.shrink.sort.bam,P2,P2
#41,#57,#41D87,#57M,L2_041_087G1,L2_057_000M1,2.0,6.324555320336759,#41D87-vs-#57M,#57M-vs-#41D87,#41-vs-#57,No,Bacteroides_fragilis_dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,0.9999989704352767,0.7502918020427302,0.999264890787635,0.9075440742273768,99.24,0.0,0.0,3885137,2856,4,dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,Bacteroidetes,Bacteroides,Bacteroides fragilis,NIHL.delta.fasta-vs-L2_041_087G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_057_000M1.shrink.sort.bam,P2,P2
#41,#57,#41D87,#57D122,L2_041_087G1,L2_057_122G1,3.0,3.605551275463989,#41D87-vs-#57D122,#57D122-vs-#41D87,#41-vs-#57,No,Bacteroides_fragilis_dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,1.0,0.7577322713361173,0.9996245856871064,0.9110662731988952,99.24,0.0,0.0,3923665,1473,0,dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,Bacteroidetes,Bacteroides,Bacteroides fragilis,NIHL.delta.fasta-vs-L2_041_087G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_057_122G1.shrink.sort.bam,P2,P2
#41,#57,#41D87,#57D244,L2_041_087G1,L2_057_244G1,3.0,3.1622776601683795,#41D87-vs-#57D244,#57D244-vs-#41D87,#41-vs-#57,No,Bacteroides_fragilis_dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,1.0,0.7576623624416975,0.9996169044297624,0.9109191459287724,99.24,0.0,0.0,3923303,1503,0,dasL3_105_245G1_maxbin2.maxbin.009.fasta.fa,Bacteroidetes,Bacteroides,Bacteroides fragilis,NIHL.delta.fasta-vs-L2_041_087G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_057_244G1.shrink.sort.bam,P2,P2
#57,#59,#57D72,#59D52,L2_057_072G1,L2_059_052G1,2.0,3.605551275463989,#57D72-vs-#59D52,#59D52-vs-#57D72,#57-vs-#59,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999925072931416,0.7562791678935171,0.9991631222801114,0.9296738056124274,100.0,0.0,0.0,3470041,2904,26,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_057_072G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_059_052G1.shrink.sort.bam,P2,P2
#58,#63,#58D28,#63D9,L3_058_028G1,L3_063_009G1,3.0,3.0,#58D28-vs-#63D9,#63D9-vs-#58D28,#58-vs-#63,No,Bacteroides_vulgatus_dasL3_060_000G1_concoct_52.fa,1.0,0.5186246293524831,0.9968295373372272,0.5547949462454216,99.25,0.0,0.0,2500266,7927,0,dasL3_060_000G1_concoct_52.fa,Bacteroidetes,Bacteroides,Bacteroides vulgatus,NIHL.delta.fasta-vs-L3_058_028G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_009G1.shrink.sort.bam,P3,P3
#58,#63,#58D63,#63D9,L3_058_063G1,L3_063_009G1,2.0,3.605551275463989,#58D63-vs-#63D9,#63D9-vs-#58D63,#58-vs-#63,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999965464100063,0.8203895249380654,0.9993156578597464,0.942894231954834,100.0,0.0,0.0,3764199,2576,13,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_009G1.shrink.sort.bam,P3,P3
#58,#63,#58D63,#63D52,L3_058_063G1,L3_063_052G1,3.0,3.0,#58D63-vs-#63D52,#63D52-vs-#58D63,#58-vs-#63,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999983059502288,0.992638050368554,0.9997487966196448,0.9992659852822208,98.75,0.08,0.0,4132110,1038,7,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_052G1.shrink.sort.bam,P3,P3
#58,#63,#58D63,#63D61,L3_058_063G1,L3_063_061G1,3.0,3.1622776601683795,#58D63-vs-#63D61,#63D61-vs-#58D63,#58-vs-#63,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999997581107872,0.9931218644571048,0.9997111842799103,0.9991814488205224,98.75,0.08,0.0,4134124,1194,1,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_061G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D15,L3_058_063G1,L3_069_015G1,5.0,5.0990195135927845,#58D63-vs-#69D15,#69D15-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999990312461856,0.9918947927767086,0.9997820303917446,0.9988456913393678,98.75,0.08,0.0,4129016,900,4,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_015G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D24,L3_058_063G1,L3_069_024G1,5.0,5.0,#58D63-vs-#69D24,#69D24-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999990318839344,0.9925482060442647,0.9997502260551012,0.9993664515012,98.75,0.08,0.0,4131736,1032,4,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_024G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D33,L3_058_063G1,L3_069_033G1,5.0,5.0990195135927845,#58D63-vs-#69D33,#69D33-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999978209287684,0.9921792197284685,0.999756186141107,0.999000869994,98.75,0.08,0.0,4130200,1007,9,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_033G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D36,L3_058_063G1,L3_069_036G1,5.0,5.385164807134504,#58D63-vs-#69D36,#69D36-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999966113058938,0.9924638869056942,0.999762549362986,0.9988823611122856,98.75,0.08,0.0,4131385,981,14,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_036G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D49,L3_058_063G1,L3_069_049G1,5.0,5.830951894845301,#58D63-vs-#69D49,#69D49-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999951624544544,0.9931708704521716,0.9997104728991024,0.9989390061313852,98.75,0.08,0.0,4134328,1197,20,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_049G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D51,L3_058_063G1,L3_069_051G1,6.0,7.211102550927978,#58D63-vs-#69D51,#69D51-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999946791554948,0.9932559102671404,0.9996930840146836,0.998757636432562,98.75,0.08,0.0,4134682,1269,22,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_051G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D61,L3_058_063G1,L3_069_061G1,6.0,6.708203932499369,#58D63-vs-#69D61,#69D61-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999956462469196,0.993179518568948,0.999692576657498,0.9987747389624748,98.75,0.08,0.0,4134364,1271,18,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_061G1.shrink.sort.bam,P3,P3
#58,#69,#58D63,#69D73,L3_058_063G1,L3_069_073G1,6.0,6.324555320336759,#58D63-vs-#69D73,#69D73-vs-#58D63,#58-vs-#69,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999951607724472,0.9928256664575104,0.9997662653091988,0.9990624283496714,98.75,0.08,0.0,4132891,966,20,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_069_073G1.shrink.sort.bam,P3,P3
#58,#72,#58D63,#72D57,L3_058_063G1,L3_072_057G1,7.0,7.615773105863909,#58D63-vs-#72D57,#72D57-vs-#58D63,#58-vs-#72,No,Clostridium_paraputrificum_dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,0.999999686270868,0.8628138479508103,0.9995610929444514,0.9875320151524662,99.98,0.0,0.0,3187463,1399,1,dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,Firmicutes,Clostridium,Clostridium paraputrificum,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_072_057G1.shrink.sort.bam,P3,P3
#58,#72,#58D63,#72D63,L3_058_063G1,L3_072_063G1,8.0,8.94427190999916,#58D63-vs-#72D63,#72D63-vs-#58D63,#58-vs-#72,No,Clostridium_paraputrificum_dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,0.99999937833813,0.8708587499813901,0.9996894798959214,0.9958391219105592,99.98,0.0,0.0,3217183,999,2,dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,Firmicutes,Clostridium,Clostridium paraputrificum,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_072_063G1.shrink.sort.bam,P3,P3
#58,#72,#58D63,#72D123,L3_058_063G1,L3_072_123G1,8.0,8.54400374531753,#58D63-vs-#72D123,#72D123-vs-#58D63,#58-vs-#72,No,Clostridium_paraputrificum_dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,1.0,0.6349409151752784,0.9998482290547568,0.7405856464564573,99.98,0.0,0.0,2345640,356,0,dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,Firmicutes,Clostridium,Clostridium paraputrificum,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_072_123G1.shrink.sort.bam,P3,P3
#58,#72,#58D63,#72D243,L3_058_063G1,L3_072_243G1,8.0,8.246211251235321,#58D63-vs-#72D243,#72D243-vs-#58D63,#58-vs-#72,No,Clostridium_paraputrificum_dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,0.9999993315467808,0.8098991274313023,0.9998048116599632,0.9363452508522032,99.98,0.0,0.0,2991982,584,2,dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,Firmicutes,Clostridium,Clostridium paraputrificum,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_072_243G1.shrink.sort.bam,P3,P3
#58,#72,#58D63,#72D362,L3_058_063G1,L3_072_362G1,8.0,8.06225774829855,#58D63-vs-#72D362,#72D362-vs-#58D63,#58-vs-#72,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.9999924546201996,0.9551227600176422,0.999870974005412,0.9649047283648235,98.75,0.08,0.0,3975943,513,30,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_063G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_072_362G1.shrink.sort.bam,P3,P3
#58,#63,#58D72,#63D9,L3_058_072G1,L3_063_009G1,2.0,2.8284271247461903,#58D72-vs-#63D9,#63D9-vs-#58D72,#58-vs-#63,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999978746579528,0.8203679483521917,0.9993368932812624,0.955305900944034,100.0,0.0,0.0,3764100,2496,8,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L3_058_072G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_009G1.shrink.sort.bam,P3,P3
#58,#63,#58D72,#63D52,L3_058_072G1,L3_063_052G1,3.0,3.1622776601683795,#58D72-vs-#63D52,#63D52-vs-#58D72,#58-vs-#63,No,Clostridioides_difficile_dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,0.999999273922616,0.9925614184448956,0.9997403063223672,0.9992407937404654,98.75,0.08,0.0,4131791,1073,3,dasL3_069_000G1_maxbin2.maxbin.053.fasta.fa,Firmicutes,Clostridioides,Clostridioides difficile,NIHL.delta.fasta-vs-L3_058_072G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_052G1.shrink.sort.bam,P3,P3
#58,#63,#58D72,#63D52,L3_058_072G1,L3_063_052G1,3.0,3.1622776601683795,#58D72-vs-#63D52,#63D52-vs-#58D72,#58-vs-#63,No,Clostridium_paraputrificum_dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,0.9999990627814584,0.8664676194046719,0.9982573983250655,0.9647743639075548,99.98,0.0,0.0,3200961,5578,3,dasL2_037_060G1_maxbin2.maxbin.018.fasta.fa,Firmicutes,Clostridium,Clostridium paraputrificum,NIHL.delta.fasta-vs-L3_058_072G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_052G1.shrink.sort.bam,P3,P3
#58,#63,#58D72,#63D52,L3_058_072G1,L3_063_052G1,3.0,3.1622776601683795,#58D72-vs-#63D52,#63D52-vs-#58D72,#58-vs-#63,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999913417510188,0.8558474836143266,0.9990368971280332,0.9869529702276584,100.0,0.0,0.0,3926891,3782,34,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L3_058_072G1.shrink.sort.bam,NIHL.delta.fasta-vs-L3_063_052G1.shrink.sort.bam,P3,P3
